tweet_id,favorites,retweet_count
849776966551130114,27137,6696
849668094696017920,0,4356
849412302885593088,14256,2781
849336543269576704,10238,1656
849051919805034497,37815,7479
848690551926992896,22557,3862
848324959059550208,22190,4082
848213670039564288,7306,634
848212111729840128,14591,2666
847978865427394560,0,2859
847971574464610304,0,384
847962785489326080,21159,4490
847842811428974592,4895,1172
847617282490613760,6255,371
847606175596138505,16871,3030
847251039262605312,18419,3845
847157206088847362,17825,5141
847116187444137987,19262,2825
846874817362120707,18132,3493
846514051647705089,40007,10201
846505985330044928,12658,2709
846153765933735936,28360,8013
846139713627017216,27994,8983
846042936437604353,14408,2540
845812042753855489,26294,7733
845677943972139009,22747,4300
845397057150107648,6886,1588
845306882940190720,21040,4770
845098359547420673,0,6816
844979544864018432,12348,2289
844973813909606400,13580,2804
844580511645339650,14837,2769
844223788422217728,12353,1962
843981021012017153,13726,2654
843856843873095681,19399,4098
843604394117681152,15298,2444
843235543001513987,19425,5294
842846295480000512,13832,3248
842765311967449089,6126,1159
842535590457499648,16395,3106
842163532590374912,22120,5162
842115215311396866,12686,2699
841833993020538882,0,13343
841680585030541313,23338,7021
841439858740625411,11380,3241
841320156043304961,17912,4933
841314665196081154,14334,4165
841077006473256960,20647,4799
840761248237133825,0,1590
840728873075638272,0,14386
840698636975636481,157,2
840696689258311684,11156,872
840632337062862849,8189,1590
840370681858686976,14895,4091
840268004936019968,17412,5112
839990271299457024,12175,2030
839549326359670784,24902,6952
839239871831150596,24581,5828
838952994649550848,17881,3599
838921590096166913,10108,1819
838916489579200512,0,29
838831947270979586,0,9839
838561493054533637,9918,1209
838476387338051585,20445,4286
838201503651401729,0,9033
838150277551247360,1538,297
838085839343206401,128,0
838083903487373313,16027,2804
837820167694528512,30956,7036
837482249356513284,3494,399
837471256429613056,11645,2034
837110210464448512,14636,2141
836989968035819520,11619,2076
836753516572119041,17619,4187
836677758902222849,11514,1984
836648853927522308,0,498
836397794269200385,0,24659
836380477523124226,13484,2699
836260088725786625,19348,3912
836001077879255040,17394,3831
835685285446955009,0,7283
835574547218894849,16183,3244
835536468978302976,0,1520
835309094223372289,0,18785
835297930240217089,14963,2689
835264098648616962,7028,1520
835246439529840640,1946,63
835172783151792128,23872,5210
835152434251116546,20392,2708
834931633769889797,9816,1463
834786237630337024,19601,5007
834574053763584002,12462,2271
834477809192075265,0,9584
834458053273591808,8791,1519
834209720923721728,18732,4259
834167344700198914,14384,3296
834089966724603904,9180,1934
834086379323871233,11885,2000
833863086058651648,12263,2169
833826103416520705,16627,3433
833732339549220864,0,199
833722901757046785,19088,2950
833479644947025920,13628,1851
833124694597443584,18427,4356
832998151111966721,12083,1960
832769181346996225,0,37
832757312314028032,15380,3257
832682457690300417,10844,2609
832645525019123713,2651,475
832636094638288896,14463,2501
832397543355072512,10899,1999
832369877331693569,15586,2859
832273440279240704,10318,2097
832215909146226688,0,5615
832215726631055365,0,8440
832088576586297345,56,2
832040443403784192,0,8656
832032802820481025,16216,4206
831939777352105988,21859,5553
831926988323639298,310,34
831911600680497154,25149,5864
831670449226514432,9495,1661
831650051525054464,6478,1760
831552930092285952,8230,2119
831322785565769729,8490,1411
831315979191906304,6009,1017
831309418084069378,10757,2217
831262627380748289,10842,1859
830956169170665475,7292,1358
830583320585068544,60826,15154
830173239259324417,0,5147
830097400375152640,8901,2643
829878982036299777,0,4506
829861396166877184,11168,1763
829501995190984704,29066,9584
829449946868879360,9608,1828
829141528400556032,22280,6653
829011960981237760,48547,14699
828801551087042563,0,3095
828770345708580865,23381,5283
828708714936930305,33300,10119
828650029636317184,8679,1213
828409743546925057,5869,1062
828408677031882754,7057,1164
828381636999917570,11511,2024
828376505180889089,6795,972
828372645993398273,11528,2674
828361771580813312,2013,163
828046555563323392,10752,2605
828011680017821696,9474,1959
827933404142436356,18340,4740
827653905312006145,14140,2739
827600520311402496,6869,856
827324948884643840,14543,2758
827199976799354881,9721,2021
826958653328592898,19725,4506
826848821049180160,33097,9175
